Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after fa̤ade dampening (dB),Comfort index (float),Absorption_norm,RT60_norm,SPL_norm,ComfortIndex_v2,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.6340,28.4086,0.8800,0.0000,28.4086,16.6675,0.8282,0.9783,0.4021,0.5564,0.8867,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,19.3615,44.1280,0.8800,0.0000,44.1280,34.5798,0.8590,0.5851,0.3922,0.9074,0.5181,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.4550,28.5561,1.1200,0.9000,16.5151,7.9412,0.1588,0.9783,0.4021,0.3854,0.9595,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.1882,28.7810,0.8800,1.1000,24.0112,12.2446,0.7397,0.9783,0.4021,0.4698,0.9236,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.9017,44.3375,0.8800,1.1000,39.5695,30.0282,0.9240,0.5851,0.3922,0.8182,0.5561,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,9.6609,29.2444,0.8000,1.2000,24.4732,12.6743,0.7483,0.9783,0.4021,0.4782,0.9200,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.3526,44.5943,0.8000,1.2000,39.8239,30.2847,0.9203,0.5851,0.3922,0.8232,0.5539,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,9.7482,29.1659,0.8800,2.0000,24.3814,12.5859,0.7466,0.9783,0.4021,0.4764,0.9207,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.00,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.30,1,11.3917,18.9764,0.8800,2.0000,14.5227,9.4065,0.3163,0.5740,0.0000,0.4141,0.8890,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.4439,44.5511,0.8800,2.0000,39.7664,30.2271,0.9212,0.5851,0.3922,0.8221,0.5544,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.0997,28.8569,0.8000,1.0000,24.0874,12.3158,0.7412,0.9783,0.4021,0.4711,0.9230,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.8099,44.3798,0.8000,1.0000,39.6120,30.0710,0.9234,0.5851,0.3922,0.8190,0.5557,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,9.7482,29.1659,0.8800,1.1000,24.3954,12.6021,0.7469,0.9783,0.4021,0.4768,0.9206,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.4439,44.5511,0.8800,1.1000,39.7817,30.2422,0.9209,0.5851,0.3922,0.8224,0.5543,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.00,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,14.9587,23.0307,1.2000,0.0000,23.0307,16.3161,0.4603,0.3142,0.7870,0.5495,0.3485,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.00,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,16.7767,36.5588,1.2000,0.0000,36.5588,15.1929,0.4497,0.5380,0.0189,0.5275,0.8121,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.00,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,20.3496,29.8951,1.2000,0.0000,29.8951,19.3318,0.8785,1.0000,0.3880,0.6086,0.8828,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.00,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,20.4834,40.9151,1.2000,0.0000,40.9151,29.4372,0.7285,0.7221,0.6186,0.8066,0.5423,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.9942,28.1195,1.2000,0.0000,28.1195,16.3980,0.8228,0.9783,0.4021,0.5511,0.8889,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.00,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.30,1,12.4824,18.2151,1.2000,0.0000,18.2151,12.3805,0.3758,0.5740,0.0000,0.4724,0.8641,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,19.7308,43.9635,1.2000,0.0000,43.9635,34.4137,0.8613,0.5851,0.3922,0.9041,0.5194,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.3659,28.6305,1.0400,1.3000,23.8601,12.1032,0.7369,0.9783,0.4021,0.4670,0.9248,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,19.0854,44.2532,1.0400,1.3000,39.4842,29.9424,0.9252,0.5851,0.3922,0.8165,0.5568,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.0114,28.9334,1.1200,0.0000,28.9334,17.1567,0.8380,0.9783,0.4021,0.5660,0.8826,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.00,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.60,2,18.7183,44.4224,1.1200,0.0000,44.4224,34.8767,0.8547,0.5851,0.3922,0.9132,0.5156,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.00,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,14.9587,23.0307,0.8000,0.0000,23.0307,16.3161,0.4603,0.3142,0.7870,0.5495,0.3485,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.00,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,16.7767,36.5588,0.8000,0.0000,36.5588,15.1929,0.4497,0.5380,0.0189,0.5275,0.8121,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.00,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,20.3496,29.8951,0.8000,0.0000,29.8951,19.3318,0.8785,1.0000,0.3880,0.6086,0.8828,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.00,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,20.4834,40.9151,0.8000,0.0000,40.9151,29.4372,0.7285,0.7221,0.6186,0.8066,0.5423,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.00,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.60,6,10.9942,28.1195,0.8000,0.0000,28.1195,16.3980,0.8228,0.9783,0.4021,0.5511,0.8889,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.00,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.30,1,12.4824,18.2151,0.8000,0.0000,18.2151,12.3805,0.3758,0.5740,0.0000,0.4724,0.8641,,,,,,
